level,wood,clay,stone,crop,crop con.,time,cp,total,res/cp,time/cp,cp_delta,name,level,eff. Res/cp
11,29045,27635,26020,9985,3,0 days 08:19:30,45,92685,11585.625,0 days 01:02:26,8,Treasury,11,11874.64286
13,15085,8125,12765,5805,4,0 days 06:11:50,21,41780,13926.66667,0 days 02:03:56,3,Great Stable,13,11907.5
14,19310,10400,16340,7430,4,0 days 07:16:20,26,53480,10696,0 days 01:27:16,5,Great Stable,14,11907.5
8,7780,7485,6755,2250,2,0 days 03:04:20,13,24270,12135,0 days 01:32:10,2,Trade Office,8,11960
9,10090,9585,8645,2880,2,0 days 03:38:30,15,31200,15600,0 days 01:49:15,2,Trade Office,9,11960
10,12915,12265,11070,3960,2,0 days 04:18:10,19,40210,10052.5,0 days 01:04:32,4,Trade Office,10,11960
19,49340,39130,29775,15315,2,0 days 15:02:50,64,133560,12141.81818,0 days 01:22:04,11,Residence,19,12141.81818
18,83075,73770,83740,39875,4,1 days 11:25:00,133,280460,12748.18182,0 days 01:36:35,22,Townhall,18,12748.18182
20,63155,50090,38110,19600,2,0 days 17:32:10,77,170955,13150.38462,0 days 01:20:56,13,Residence,20,13150.38462
4,1365,1680,945,420,1,0 days 04:11:40,2,4410,,,0,Great Warehuose,4,13250
5,1745,2145,1210,535,1,0 days 04:57:00,2,5635,,,0,Great Warehuose,5,13250
6,2235,2750,1545,685,1,0 days 05:49:30,3,7215,7215,0 days 05:49:30,1,Great Warehuose,6,13250
7,2860,3520,1980,880,1,0 days 06:50:20,4,9240,9240,0 days 06:50:20,1,Great Warehuose,7,13250
19,106340,94430,107190,51040,4,1 days 17:08:40,160,359000,13296.2963,0 days 01:31:25,27,Townhall,19,13296.2963
15,24720,13310,20915,9505,4,0 days 08:31:10,31,68450,13690,0 days 01:42:14,5,Great Stable,15,13690
12,36600,34820,32785,12580,3,0 days 09:43:00,53,116785,14598.125,0 days 01:12:52,8,Treasury,12,13891.31579
13,46115,43875,41310,15850,3,0 days 11:20:00,64,147150,13377.27273,0 days 01:01:49,11,Treasury,13,13891.31579
14,58105,55280,52050,19975,3,0 days 13:12:20,77,185410,14262.30769,0 days 01:00:56,13,Treasury,14,14262.30769
20,136115,120870,137200,65335,4,1 days 23:47:10,192,459520,14360,0 days 01:29:35,32,Townhall,20,14360
11,16530,15700,14165,4720,3,0 days 05:04:00,22,51115,17038.33333,0 days 01:41:20,3,Trade Office,11,14568.75
12,21155,20100,18135,6045,3,0 days 05:57:20,27,65435,13087,0 days 01:11:28,5,Trade Office,12,14568.75
16,31640,17035,26775,12170,4,0 days 09:58:00,37,87620,14603.33333,0 days 01:39:40,6,Great Stable,16,14603.33333
15,73210,69655,65585,25165,3,0 days 15:22:40,92,233615,15574.33333,0 days 01:01:30,15,Treasury,15,15528.52941
16,92245,87760,82640,31710,4,0 days 17:53:50,111,294355,15492.36842,0 days 00:56:31,19,Treasury,16,15528.52941
17,40500,21810,34270,15575,4,0 days 11:38:40,44,112155,16022.14286,0 days 01:39:48,7,Great Stable,17,15982.1875
18,51840,27915,43865,19940,4,0 days 13:35:30,53,143560,15951.11111,0 days 01:30:36,9,Great Stable,18,15982.1875
13,27080,25725,23210,9905,3,0 days 06:59:10,32,85920,17184,0 days 01:23:50,5,Trade Office,13,16093.75
14,34660,32930,29710,9905,3,0 days 08:10:50,39,107205,15315,0 days 01:10:07,7,Trade Office,14,16093.75
19,66355,35730,56145,25520,4,0 days 15:51:00,64,183750,16704.54545,0 days 01:26:27,11,Great Stable,19,16704.54545
2,2240,2880,1960,305,1,0 days 01:12:40,1,7385,,,0,Tournament Square,2,16835
3,2865,3685,2505,395,1,0 days 01:29:20,2,9450,9450,0 days 01:29:20,1,Tournament Square,3,16835
17,116230,110580,104125,39955,4,0 days 20:49:20,133,370890,16858.63636,0 days 00:56:47,22,Treasury,17,16858.63636
18,146450,139330,131195,50340,4,1 days 00:12:50,160,467315,17307.96296,0 days 00:53:48,27,Treasury,18,17307.96296
4,1645,1575,1645,565,1,0 days 00:55:40,2,5430,,,0,Hero's Mansion,4,17532.5
5,2190,2095,2190,750,1,0 days 01:04:30,2,7225,,,0,Hero's Mansion,5,17532.5
6,2915,2790,2915,1000,2,0 days 01:14:50,3,9620,9620,0 days 01:14:50,1,Hero's Mansion,6,17532.5
7,3875,3710,3875,1330,2,0 days 01:26:50,4,12790,12790,0 days 01:26:50,1,Hero's Mansion,7,17532.5
4,1320,880,1635,755,2,0 days 01:09:30,2,4590,,,0,Great Barracks,4,17990
5,1690,1125,2095,965,2,0 days 01:25:40,2,5875,,,0,Great Barracks,5,17990
6,2165,1445,2680,1235,3,0 days 01:44:20,3,7525,7525,0 days 01:44:20,1,Great Barracks,6,17990
20,84935,45735,71870,32665,4,0 days 18:28:10,77,235205,18092.69231,0 days 01:25:14,13,Great Stable,20,18092.69231
19,184530,175560,165305,63430,4,1 days 04:08:50,192,588825,18400.78125,0 days 00:52:46,32,Treasury,19,18400.78125
7,2770,1845,3430,1585,3,0 days 02:06:10,3,9630,,,0,Great Barracks,7,18867.5
8,3545,2365,4390,2025,3,0 days 02:31:20,3,12325,,,0,Great Barracks,8,18867.5
9,4540,3025,5620,2595,3,0 days 03:00:30,5,15780,7890,0 days 01:30:15,2,Great Barracks,9,18867.5
15,44370,42150,38030,12675,3,0 days 09:34:00,46,137225,19603.57143,0 days 01:22:00,7,Trade Office,15,19203.57143
16,56790,53950,48680,16225,4,0 days 11:10:30,55,175645,19516.11111,0 days 01:14:30,9,Trade Office,16,19203.57143
17,72690,69060,62310,20770,4,0 days 13:02:30,67,224830,18735.83333,0 days 01:05:12,12,Trade Office,17,19203.57143
20,232505,221205,208285,79925,4,1 days 08:42:40,230,741920,19524.21053,0 days 00:51:38,38,Treasury,20,19524.21053
10,5810,3875,7195,3320,3,0 days 03:34:20,6,20200,20200,0 days 03:34:20,1,Great Barracks,10,19787.5
11,7440,4960,9210,4250,3,0 days 04:13:40,7,25860,25860,0 days 04:13:40,1,Great Barracks,11,19787.5
12,9520,6345,11785,5440,3,0 days 04:59:10,9,33090,16545,0 days 02:29:35,2,Great Barracks,12,19787.5
8,3660,4505,2535,1125,1,0 days 08:01:00,4,11825,,,0,Great Warehuose,8,20497.85714
9,4685,5765,3245,1440,1,0 days 09:23:00,5,15135,15135,0 days 09:23:00,1,Great Warehuose,9,20497.85714
10,5995,7380,4150,1845,1,0 days 10:58:00,6,19370,19370,0 days 10:58:00,1,Great Warehuose,10,20497.85714
11,7675,9445,5315,2360,2,0 days 12:48:20,7,24795,24795,0 days 12:48:20,1,Great Warehuose,11,20497.85714
12,9825,12090,6800,3020,2,0 days 14:56:20,9,31735,15867.5,0 days 07:28:10,2,Great Warehuose,12,20497.85714
13,12575,15475,8705,3870,2,0 days 17:24:40,11,40625,20312.5,0 days 08:42:20,2,Great Warehuose,13,20497.85714
13,12185,8125,15085,6965,3,0 days 05:52:10,11,42360,21180,0 days 02:56:05,2,Great Barracks,13,21180
18,93045,88395,79755,26585,4,0 days 15:12:20,80,287780,22136.92308,0 days 01:10:10,13,Trade Office,18,22136.92308
19,119100,113145,102085,34030,4,0 days 17:43:00,96,368360,23022.5,0 days 01:06:26,16,Trade Office,19,23022.5
8,2535,3260,2535,725,1,0 days 03:30:40,4,9055,,,0,Cropland,8,24180
9,4235,5445,4235,1210,1,0 days 05:40:30,5,15125,15125,0 days 05:40:30,1,Cropland,9,24180
8,2900,1450,2900,1810,2,0 days 04:02:00,4,9060,,,0,Clay Pit,8,24185
9,4840,2420,4840,3025,2,0 days 06:30:30,5,15125,15125,0 days 06:30:30,1,Clay Pit,9,24185
8,1450,3625,1810,2175,2,0 days 04:19:50,4,9060,,,0,Woodcutter,8,24185
9,2420,6050,3025,3630,2,0 days 06:59:10,5,15125,15125,0 days 06:59:10,1,Woodcutter,9,24185
20,152445,144825,130670,43555,4,0 days 20:37:40,115,471495,24815.52632,0 days 01:05:08,19,Trade Office,20,24815.52632
10,8080,4040,8080,5050,2,0 days 10:28:10,6,25250,25250,0 days 10:28:10,1,Clay Pit,10,25250
10,7070,9095,7070,2020,1,0 days 09:08:00,6,25255,25255,0 days 09:08:00,1,Cropland,10,25255
10,4040,10105,5050,6060,2,0 days 11:14:00,6,25255,25255,0 days 11:14:00,1,Woodcutter,10,25255
14,16095,19805,11140,4950,2,0 days 20:16:50,13,51990,25995,0 days 10:08:25,2,Great Warehuose,14,25995
8,3625,2900,1085,2175,2,0 days 05:44:50,4,9785,,,0,Iron Mine,8,26120
9,6050,4840,1815,3630,2,0 days 09:15:10,5,16335,16335,0 days 09:15:10,1,Iron Mine,9,26120
14,15600,10400,19310,8915,3,0 days 06:53:30,13,54225,27112.5,0 days 03:26:45,2,Great Barracks,14,27112.5
10,10105,8080,3030,6060,2,0 days 14:51:40,6,27275,27275,0 days 14:51:40,1,Iron Mine,10,27275
15,20600,25355,14260,6340,2,0 days 23:36:30,15,66555,33277.5,0 days 11:48:15,2,Great Warehuose,15,28596.42857
16,26365,32450,18255,8115,2,1 days 03:28:10,18,85185,28395,0 days 09:09:23,3,Great Warehuose,16,28596.42857
17,33750,41540,23365,10385,2,1 days 07:56:50,22,109040,27260,0 days 07:59:12,4,Great Warehuose,17,28596.42857
18,43200,53170,29910,13290,2,1 days 13:08:30,27,139570,27914,0 days 07:25:42,5,Great Warehuose,18,28596.42857
15,19965,13310,24270,11410,3,0 days 08:04:40,15,68955,34477.5,0 days 04:02:20,2,Great Barracks,15,29789.28571
16,25555,17035,31640,14605,4,0 days 09:27:10,18,88835,29611.66667,0 days 03:09:03,3,Great Barracks,16,29789.28571
17,32710,21810,40500,18690,4,0 days 11:02:50,22,113710,28427.5,0 days 02:45:42,4,Great Barracks,17,29789.28571
18,41870,27915,51840,23925,4,0 days 12:54:00,27,145550,29110,0 days 02:34:48,5,Great Barracks,18,29789.28571
8,5155,4930,5155,1765,2,0 days 01:40:40,4,17005,,,0,Hero's Mansion,8,32586
9,6855,6560,6855,2350,2,0 days 01:56:50,5,22620,22620,0 days 01:56:50,1,Hero's Mansion,9,32586
10,9115,8725,9115,3125,2,0 days 02:15:30,6,30080,30080,0 days 02:15:30,1,Hero's Mansion,10,32586
11,12125,11605,12125,4155,2,0 days 02:37:10,7,40010,40010,0 days 02:37:10,1,Hero's Mansion,11,32586
12,16125,15435,16125,5530,2,0 days 03:02:20,9,53215,26607.5,0 days 01:31:10,2,Hero's Mansion,12,32586
13,21455,20525,21445,7350,2,0 days 03:31:30,11,70775,35387.5,0 days 01:45:45,2,Hero's Mansion,13,35387.5
19,55295,68055,38280,17015,2,1 days 19:10:00,32,178645,35729,0 days 08:38:00,5,Great Warehuose,19,35729
4,3670,4720,3210,505,1,0 days 01:48:30,2,12105,,,0,Tournament Square,4,36397.5
5,4700,6040,4105,645,1,0 days 02:11:00,2,15490,,,0,Tournament Square,5,36397.5
6,6015,7730,5255,825,1,0 days 02:36:50,3,19825,19825,0 days 02:36:50,1,Tournament Square,6,36397.5
7,7695,9895,6730,1055,1,0 days 03:07:00,4,25375,25375,0 days 03:07:00,1,Tournament Square,7,36397.5
19,53595,35730,66355,30625,4,0 days 15:02:50,32,186305,37261,0 days 03:00:34,5,Great Barracks,19,37261
11,6750,16870,8435,10125,2,0 days 18:01:40,7,42180,42180,0 days 18:01:40,1,Woodcutter,11,37540
12,11270,28175,14090,16905,2,1 days 04:54:10,9,70440,35220,0 days 14:27:05,2,Woodcutter,12,37540
11,11810,15185,11810,3375,1,0 days 14:40:10,7,42180,42180,0 days 14:40:10,1,Cropland,11,37541.66667
12,19725,25360,19725,5635,1,0 days 23:31:40,9,70445,35222.5,0 days 11:45:50,2,Cropland,12,37541.66667
11,13500,6750,13500,8435,2,0 days 10:28:10,7,42185,42185,0 days 10:28:10,1,Clay Pit,11,37541.66667
12,22540,11270,22540,14090,2,0 days 16:48:30,9,70440,35220,0 days 08:24:15,2,Clay Pit,12,37541.66667
20,70780,87110,49000,21780,2,2 days 02:09:30,38,228670,38111.66667,0 days 08:21:35,6,Great Warehuose,20,38111.66667
20,68600,45735,84935,39200,4,0 days 17:32:10,38,238470,39745,0 days 02:55:21,6,Great Barracks,20,39745
11,16870,13500,5060,10125,3,0 days 23:50:00,7,45555,45555,0 days 23:50:00,1,Iron Mine,11,40543.33333
12,28175,22540,8455,16905,3,1 days 14:11:10,9,76075,38037.5,0 days 19:05:35,2,Iron Mine,12,40543.33333
14,28520,27300,28520,9780,2,0 days 04:05:20,13,94120,47060,0 days 02:02:40,2,Hero's Mansion,14,47060
8,9850,12665,8615,1350,1,0 days 03:42:00,4,32480,,,0,Tournament Square,8,56314.28571
9,12610,16215,11025,1730,1,0 days 04:22:30,5,41580,41580,0 days 04:22:30,1,Tournament Square,9,56314.28571
10,16140,20755,14110,2215,1,0 days 05:09:30,6,53220,53220,0 days 05:09:30,1,Tournament Square,10,56314.28571
11,20660,26565,18065,2835,2,0 days 06:04:00,7,68125,68125,0 days 06:04:00,1,Tournament Square,11,56314.28571
12,26445,34000,23120,3625,2,0 days 07:07:10,9,87190,43595,0 days 03:33:35,2,Tournament Square,12,56314.28571
13,33850,43520,29595,4640,2,0 days 08:20:30,11,111605,55802.5,0 days 04:10:15,2,Tournament Square,13,56314.28571
15,37935,36310,37935,13005,2,0 days 04:44:30,15,125185,62592.5,0 days 02:22:15,2,Hero's Mansion,15,57011.66667
16,50450,48290,50450,17300,3,0 days 05:30:00,18,166490,55496.66667,0 days 01:50:00,3,Hero's Mansion,16,57011.66667
17,67100,64225,67100,23005,3,0 days 06:22:50,22,221430,55357.5,0 days 01:35:42,4,Hero's Mansion,17,57011.66667
13,18820,47055,23525,28230,2,1 days 22:18:00,11,117630,58815,0 days 23:09:00,2,Woodcutter,13,58815
13,37645,18820,37645,23525,2,1 days 02:56:50,11,117635,58817.5,0 days 13:28:25,2,Clay Pit,13,58817.5
13,32940,42350,32940,9410,1,1 days 13:41:50,11,117640,58820,0 days 18:50:55,2,Cropland,13,58820
18,89245,85420,89245,30600,3,0 days 07:24:10,27,294510,58902,0 days 01:28:50,5,Hero's Mansion,18,58902
13,47055,37645,14115,28230,3,2 days 13:09:20,11,127045,63522.5,1 days 06:34:40,2,Iron Mine,13,63522.5
14,43330,55705,37880,5940,2,0 days 09:45:40,13,142855,71427.5,0 days 04:52:50,2,Tournament Square,14,71427.5
19,118695,113605,118695,40695,3,0 days 08:35:10,32,391690,78338,0 days 01:43:02,5,Hero's Mansion,19,78338
15,55460,71305,48490,7605,2,0 days 11:24:20,15,182860,91430,0 days 05:42:10,2,Tournament Square,15,78570.71429
16,70990,91270,62065,9735,2,0 days 13:18:50,18,234060,78020,0 days 04:26:16,3,Tournament Square,16,78570.71429
17,90865,116825,79440,12460,2,0 days 15:31:40,22,299590,74897.5,0 days 03:52:55,4,Tournament Square,17,78570.71429
18,116305,149540,101685,15950,2,0 days 18:05:40,27,383480,76696,0 days 03:37:08,5,Tournament Square,18,78570.71429
20,157865,151095,157865,54125,3,0 days 09:57:40,38,520950,86825,0 days 01:39:36,6,Hero's Mansion,20,86825
19,148875,191410,130160,20415,2,0 days 21:04:20,32,490860,98172,0 days 04:12:52,5,Tournament Square,19,98172
14,55005,70720,55005,15715,1,2 days 12:22:20,13,196445,98222.5,1 days 06:11:10,2,Cropland,14,98222.5
14,62865,31430,62865,39290,2,1 days 19:10:20,13,196450,98225,0 days 21:35:10,2,Clay Pit,14,98225
14,31430,78580,39290,47150,2,3 days 02:08:00,13,196450,98225,1 days 13:04:00,2,Woodcutter,14,98225
20,190560,245005,166600,26135,2,1 days 00:31:40,38,628300,104716.6667,0 days 04:05:16,6,Tournament Square,20,104716.6667
14,78580,62865,23575,47150,3,4 days 01:54:10,13,212170,106085,2 days 00:57:05,2,Iron Mine,14,106085
15,91860,118105,91860,26245,1,4 days 00:39:10,15,328070,164035,2 days 00:19:35,2,Cropland,15,164035
15,52490,131230,65615,78740,2,4 days 22:40:10,15,328075,164037.5,2 days 11:20:05,2,Woodcutter,15,164037.5
15,104985,52490,104985,65615,2,2 days 21:07:50,15,328075,164037.5,1 days 10:33:55,2,Clay Pit,15,164037.5
15,131230,104985,39370,78740,3,6 days 12:42:00,15,354325,177162.5,3 days 06:21:00,2,Iron Mine,15,177162.5
16,175320,87660,175320,109575,3,4 days 14:39:50,18,547875,182625,1 days 12:53:16.667000,3,Clay Pit,16,182625
16,87660,219155,109575,131490,3,7 days 21:55:30,18,547880,182626.6667,2 days 15:18:30,3,Woodcutter,16,182626.6667
16,153405,197240,153405,43830,2,6 days 10:41:50,18,547880,182626.6667,2 days 03:33:56.667000,3,Cropland,16,182626.6667
16,219155,175320,65745,131490,3,10 days 10:46:30,18,591710,197236.6667,3 days 11:35:30,3,Iron Mine,16,197236.6667
17,256190,329385,256190,73195,2,10 days 07:34:20,22,914960,228740,2 days 13:53:35,4,Cropland,17,228740
17,146395,365985,182995,219590,3,12 days 15:56:10,22,914965,228741.25,3 days 03:59:02.500000,4,Woodcutter,17,228741.25
17,292790,146395,292790,182995,3,7 days 09:07:00,22,914970,228742.5,1 days 20:16:45,4,Clay Pit,17,228742.5
17,365985,292790,109795,219590,3,16 days 17:17:40,22,988160,247040,4 days 04:19:25,4,Iron Mine,17,247040
18,427835,550075,427835,122240,2,16 days 12:10:10,27,1527985,305597,3 days 07:14:02,5,Cropland,18,305597
18,488955,244480,488955,305600,3,11 days 19:26:30,27,1527990,305598,2 days 08:41:18,5,Clay Pit,18,305598
18,244480,611195,305600,366715,3,20 days 06:21:20,27,1527990,305598,4 days 01:16:16,5,Woodcutter,18,305598
18,611195,488955,183360,366715,3,26 days 18:07:40,27,1650225,330045,5 days 08:25:32,5,Iron Mine,18,330045
19,714485,918625,714485,204140,2,26 days 09:55:00,32,2551735,510347,5 days 06:47:00,5,Cropland,19,510347
19,816555,408280,816555,510350,3,18 days 21:33:40,32,2551740,510348,3 days 18:42:44,5,Clay Pit,19,510348
19,408280,1020695,510350,612420,3,32 days 10:13:20,32,2551745,510349,6 days 11:38:40,5,Woodcutter,19,510349
19,1020695,816555,306210,612420,3,42 days 19:27:30,32,2755880,551176,8 days 13:29:30,5,Iron Mine,19,551176
20,1363650,681825,1363650,852280,3,30 days 05:45:10,38,4261405,710234.1667,5 days 00:57:31.667000,6,Clay Pit,20,710234.1667
20,1193195,1534105,1193195,340915,2,42 days 06:20:30,38,4261410,710235,7 days 01:03:25,6,Cropland,20,710235
20,681825,1704565,852280,1022740,3,51 days 21:12:50,38,4261410,710235,8 days 15:32:08.333000,6,Woodcutter,20,710235
20,1704565,1363650,511370,1022740,3,67 days 11:59:30,38,4602325,767054.1667,11 days 09:59:55,6,Iron Mine,20,767054.1667